year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2019,Service,Services,AC,1,20741.00,255086.83,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Good,Biens,AC,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2019,Construction,Construction,AC,0,0,0,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs
2017,Service,Services,TN,13,264175.43,3254.40,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Good,Biens,TN,4,145013.17,1356.15,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Construction,Construction,TN,0,0,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2018,Service,Services,OB,1,10731.42,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2018,Good,Biens,OB,0,0,4317.23,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2018,Construction,Construction,OB,0,0,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Service,Services,TC,5,335664.96,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Good,Biens,TC,1,22974.88,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2017,Construction,Construction,TC,0,0,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2019,Service,Services,AC,1,24238.50,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2019,Good,Biens,AC,0,0,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2019,Construction,Construction,AC,0,0,0,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord
2018,Service,Services,TC,196,25932828.83,18973131.22,Courts Administration Service,Service administratif des tribunaux judiciaires
2018,Good,Biens,TC,168,8770879.68,176426.19,Courts Administration Service,Service administratif des tribunaux judiciaires
2018,Construction,Construction,TC,6,450406.79,1449.00,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Service,Services,TN,155,3834488.52,415668.51,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Good,Biens,TN,76,2620478.48,52226.23,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Construction,Construction,TN,1,66807.86,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Service,Services,OB,2,149860.00,181437.90,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Good,Biens,OB,0,0,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Construction,Construction,OB,0,0,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Service,Services,AC,3,212593.50,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Good,Biens,AC,0,0,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Construction,Construction,AC,0,0,0,Courts Administration Service,Service administratif des tribunaux judiciaires
2019,Service,Services,TC,429,154654015.69,225905093.67,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Good,Biens,TC,253,61278038.89,4869740.82,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Construction,Construction,TC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Service,Services,OB,604,304673909.58,168848360.66,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Good,Biens,OB,228,40303681.97,103350021.82,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Construction,Construction,OB,1,18423.21,398387.17,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Service,Services,TN,246,49119640.97,15243001.51,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Good,Biens,TN,110,5352290.21,3667538.07,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Construction,Construction,TN,10,244173.11,134627.63,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Service,Services,AC,11,17805418.57,65381.80,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Good,Biens,AC,3,369854.30,42013.40,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Construction,Construction,AC,0,0,0,Canada Border Services Agency,Agence des services frontaliers du Canada
2019,Service,Services,TN,24,790483.32,57893.77,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2019,Good,Biens,TN,5,124098.16,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2019,Construction,Construction,TN,0,0,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Service,Services,TC,2,61808.99,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Good,Biens,TC,3,46573.49,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2017,Construction,Construction,TC,0,0,0,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail
2019,Service,Services,TC,44,1640878.20,219484.04,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Good,Biens,TC,34,1481512.83,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Construction,Construction,TC,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Service,Services,TN,34,1464891.73,433297.63,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Good,Biens,TN,23,1019342.21,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Construction,Construction,TN,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Service,Services,AC,1,63236.25,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Good,Biens,AC,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Construction,Construction,AC,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Service,Services,OB,0,0,41505.98,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Good,Biens,OB,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2017,Construction,Construction,OB,0,0,0,Canada Economic Development for Quebec Regions,Développement économique Canada pour les régions du Québec
2019,Service,Services,TN,111,2365337.36,192807.64,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Good,Biens,TN,39,1358222.25,63922.75,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Construction,Construction,TN,0,0,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Service,Services,OB,165,23442290.51,15482717.54,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Good,Biens,OB,46,5471208.22,294065.86,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Construction,Construction,OB,1,10572.19,0,Canada Energy Regulator,La Régie de l’énergie du Canada
2019,Service,Services,TC,37,1862472.50,1133114.91,Canada Energy Regulator,La Régie de l’énergie du Canada
