year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2018,Good,Biens,TN,12,533935.35,76138.87,Canadian Transportation Agency,Office des transports du Canada
2018,Construction,Construction,TN,0,0,0,Canadian Transportation Agency,Office des transports du Canada
2019,Service,Services,TC,36,1871537.32,2088633.26,Canadian Transportation Agency,Office des transports du Canada
2019,Good,Biens,TC,21,1242181.29,-30296.28,Canadian Transportation Agency,Office des transports du Canada
2019,Construction,Construction,TC,0,0,0,Canadian Transportation Agency,Office des transports du Canada
2019,Service,Services,OB,1,65000.00,1458519.41,Canadian Transportation Agency,Office des transports du Canada
2019,Good,Biens,OB,2,93224.68,0,Canadian Transportation Agency,Office des transports du Canada
2019,Construction,Construction,OB,0,0,0,Canadian Transportation Agency,Office des transports du Canada
2018,Service,Services,TC,3534,401301681.07,102410196.26,Global Affairs Canada,Affaires mondiales Canada
2018,Good,Biens,TC,1362,119479605.30,2141230.13,Global Affairs Canada,Affaires mondiales Canada
2018,Construction,Construction,TC,599,32225667.45,3782931.25,Global Affairs Canada,Affaires mondiales Canada
2018,Service,Services,OB,216,144594295.47,30140721.03,Global Affairs Canada,Affaires mondiales Canada
2018,Good,Biens,OB,36,15309324.27,0,Global Affairs Canada,Affaires mondiales Canada
2018,Construction,Construction,OB,26,33196579.19,1270886.99,Global Affairs Canada,Affaires mondiales Canada
2018,Service,Services,TN,2353,77435027.17,4805021.20,Global Affairs Canada,Affaires mondiales Canada
2018,Good,Biens,TN,1520,49988846.64,5594259.84,Global Affairs Canada,Affaires mondiales Canada
2018,Construction,Construction,TN,212,4436295.13,203260.67,Global Affairs Canada,Affaires mondiales Canada
2017,Service,Services,AC,1,99999.00,368255.03,Global Affairs Canada,Affaires mondiales Canada
2017,Good,Biens,AC,2,2807212.66,0,Global Affairs Canada,Affaires mondiales Canada
2017,Construction,Construction,AC,1,283569.89,748271.36,Global Affairs Canada,Affaires mondiales Canada
2018,Service,Services,TN,2308,70255859.97,1589388670.70,Fisheries and Oceans Canada,Pêches et Océans Canada
2018,Good,Biens,TN,626,31324640.75,203340228.13,Fisheries and Oceans Canada,Pêches et Océans Canada
2018,Construction,Construction,TN,1663,49909139.78,62815582.10,Fisheries and Oceans Canada,Pêches et Océans Canada
2018,Service,Services,TC,4438,1132872281.36,-201272540.37,Fisheries and Oceans Canada,Pêches et Océans Canada
2018,Good,Biens,TC,5723,579645752.56,324218971.83,Fisheries and Oceans Canada,Pêches et Océans Canada
2018,Construction,Construction,TC,1034,258757562.25,169000667.20,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Service,Services,OB,381,27362255.88,52886336.75,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Good,Biens,OB,13,0.00,-16961.04,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Construction,Construction,OB,238,27530683.17,7683421.79,Fisheries and Oceans Canada,Pêches et Océans Canada
2018,Service,Services,AC,62,15046459.86,4840785.99,Fisheries and Oceans Canada,Pêches et Océans Canada
2018,Good,Biens,AC,14,611128377.52,252720000.00,Fisheries and Oceans Canada,Pêches et Océans Canada
2018,Construction,Construction,AC,3,8501779.64,13221000.00,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Service,Services,TC,12202,2172541974.45,3042832293.35,National Defence,Défense nationale
2017,Good,Biens,TC,18350,1646823476.16,318471192.29,National Defence,Défense nationale
2017,Construction,Construction,TC,2599,138791176.50,16019566.37,National Defence,Défense nationale
2018,Service,Services,TN,1567,1294907498.37,109772517.48,National Defence,Défense nationale
2018,Good,Biens,TN,1552,524765562.18,2221828496.79,National Defence,Défense nationale
2018,Construction,Construction,TN,27,798504.85,131622.09,National Defence,Défense nationale
2017,Service,Services,OB,1301,2472858760.45,275691136.89,National Defence,Défense nationale
2017,Good,Biens,OB,1296,1008724037.71,1055218517.84,National Defence,Défense nationale
2017,Construction,Construction,OB,367,190010181.92,64049788.46,National Defence,Défense nationale
2018,Service,Services,AC,43,16025044.05,1739352899.89,National Defence,Défense nationale
2018,Good,Biens,AC,100,52999096.39,37274867.14,National Defence,Défense nationale
2018,Construction,Construction,AC,0,0,0,National Defence,Défense nationale
2018,Service,Services,TC,1139,71712049.08,14526350.25,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Good,Biens,TC,584,30321027.82,5892911.99,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Construction,Construction,TC,78,5654253.43,109653.85,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Service,Services,OB,89,23607716.57,36567920.02,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Good,Biens,OB,44,5906452.15,1547614.04,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Construction,Construction,OB,7,3393306.50,273747.30,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Service,Services,TN,1786,51095039.96,3840407.09,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Good,Biens,TN,600,21112257.10,1516199.11,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Construction,Construction,TN,226,4982556.89,172606.25,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Service,Services,AC,12,1806589.75,739960.09,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Good,Biens,AC,14,1765806.70,418159.86,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2018,Construction,Construction,AC,0,0,0,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2019,Service,Services,TC,306,35030699.76,23758155.26,Elections Canada,Élections Canada
2019,Good,Biens,TC,66,6459349.51,58101.45,Elections Canada,Élections Canada
2019,Construction,Construction,TC,0,0,0,Elections Canada,Élections Canada
2019,Service,Services,TN,297,13951757.10,8232168.38,Elections Canada,Élections Canada
2019,Good,Biens,TN,55,3973653.32,677192.34,Elections Canada,Élections Canada
2019,Construction,Construction,TN,0,0,0,Elections Canada,Élections Canada
2019,Service,Services,OB,77,207580602.18,54043198.06,Elections Canada,Élections Canada
2019,Good,Biens,OB,24,2233970.62,54128.94,Elections Canada,Élections Canada
2019,Construction,Construction,OB,0,0,0,Elections Canada,Élections Canada
2019,Service,Services,AC,3,8777239.63,0,Elections Canada,Élections Canada
2019,Good,Biens,AC,0,0,0,Elections Canada,Élections Canada
2019,Construction,Construction,AC,0,0,0,Elections Canada,Élections Canada
2018,Service,Services,OB,1130,153401074.38,498927570.92,Employment and Social Development Canada,Emploi et Développement social Canada
2018,Good,Biens,OB,93,18273429.36,2825855.80,Employment and Social Development Canada,Emploi et Développement social Canada
2018,Construction,Construction,OB,0,0,0,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Service,Services,TC,517,74479884.64,17353770.99,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Good,Biens,TC,145,35896891.74,5425663.87,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Construction,Construction,TC,0,0,0,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Service,Services,TN,552,35626026.63,1235153.94,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Good,Biens,TN,69,13434418.05,2452918.24,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Construction,Construction,TN,8,127873.41,0,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Service,Services,AC,3,251902.95,5599826.83,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Good,Biens,AC,0,0,0,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Construction,Construction,AC,0,0,0,Employment and Social Development Canada,Emploi et Développement social Canada
2019,Service,Services,TC,105,9134787.48,2669496.91,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2019,Good,Biens,TC,42,1943626.91,16752.25,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2019,Construction,Construction,TC,2,22155.67,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2019,Service,Services,TN,60,1822523.51,161703.14,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2019,Good,Biens,TN,11,1416686.15,645026.25,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2019,Construction,Construction,TN,0,0,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2018,Service,Services,AC,3,1084730.50,35637.30,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2018,Good,Biens,AC,0,0,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2018,Construction,Construction,AC,0,0,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2019,Service,Services,OB,1,324149.54,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2019,Good,Biens,OB,1,15571.40,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2019,Construction,Construction,OB,0,0,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2019,Service,Services,TC,54,1982564.94,2295091.72,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2019,Good,Biens,TC,21,958019.23,0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2019,Construction,Construction,TC,0,0,0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2019,Service,Services,TN,18,365440.87,2084.29,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2019,Good,Biens,TN,6,84603.82,0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2019,Construction,Construction,TN,0,0,0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2019,Service,Services,OB,8,837607.56,-23824.92,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2019,Good,Biens,OB,0,0,0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2019,Construction,Construction,OB,0,0,0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2019,Service,Services,TN,160,6181266.18,1493514.52,Department of Finance Canada,Ministère des Finances Canada
2019,Good,Biens,TN,30,576646.10,440758.27,Department of Finance Canada,Ministère des Finances Canada
2019,Construction,Construction,TN,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2019,Service,Services,AC,3,251282.62,154002.05,Department of Finance Canada,Ministère des Finances Canada
2019,Good,Biens,AC,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2019,Construction,Construction,AC,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2019,Service,Services,TC,55,6158784.44,2351523.03,Department of Finance Canada,Ministère des Finances Canada
2019,Good,Biens,TC,25,3366259.55,96053.00,Department of Finance Canada,Ministère des Finances Canada
2019,Construction,Construction,TC,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2019,Service,Services,OB,9,3438160.37,3253713.94,Department of Finance Canada,Ministère des Finances Canada
2019,Good,Biens,OB,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2019,Construction,Construction,OB,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2019,Service,Services,TC,23,1362814.08,165328.34,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2019,Good,Biens,TC,20,1378379.80,0,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2019,Construction,Construction,TC,0,0,0,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2019,Service,Services,TN,35,1105081.72,137200.78,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2019,Good,Biens,TN,21,1376608.45,15135.85,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2019,Construction,Construction,TN,0,0,0,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2019,Service,Services,TN,136,2788879.52,179711.91,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2019,Good,Biens,TN,10,380962.92,0,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2019,Construction,Construction,TN,1,24012.50,0,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2019,Service,Services,TC,6,134636.44,148791.80,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2019,Good,Biens,TC,7,180315.07,0,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2019,Construction,Construction,TC,0,0,0,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2019,Service,Services,OB,13,2038691.64,1795262.06,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2019,Good,Biens,OB,1,40510.50,0,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2019,Construction,Construction,OB,0,0,0,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2017,Service,Services,TN,4,74579.88,0,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Good,Biens,TN,0,0,0,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Construction,Construction,TN,0,0,0,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Service,Services,TC,2,76552.00,27287.50,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Good,Biens,TC,0,0,0,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Construction,Construction,TC,0,0,0,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2019,Service,Services,TC,1409,115080871.39,50002213.75,Health Canada,Santé Canada
2019,Good,Biens,TC,509,39129658.63,5423430.10,Health Canada,Santé Canada
2019,Construction,Construction,TC,61,2380407.00,145823.30,Health Canada,Santé Canada
2019,Service,Services,TN,1155,54838385.42,6918517.43,Health Canada,Santé Canada
2019,Good,Biens,TN,519,30648231.47,3936903.87,Health Canada,Santé Canada
2019,Construction,Construction,TN,39,1029611.12,49280.03,Health Canada,Santé Canada
2019,Service,Services,AC,14,2766642.71,2924232.25,Health Canada,Santé Canada
2019,Good,Biens,AC,6,2356869.18,0,Health Canada,Santé Canada
2019,Construction,Construction,AC,1,210971.00,0,Health Canada,Santé Canada
2019,Service,Services,OB,290,55518174.63,96115634.48,Health Canada,Santé Canada
2019,Good,Biens,OB,39,1834108.41,426008.55,Health Canada,Santé Canada
2019,Construction,Construction,OB,14,2274947.42,190449.57,Health Canada,Santé Canada
2019,Service,Services,TC,49,3427822.51,507523.57,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2019,Good,Biens,TC,35,2087290.50,26103.44,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2019,Construction,Construction,TC,0,0,0,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2019,Service,Services,TN,49,1067225.10,88569.80,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2019,Good,Biens,TN,9,181093.29,2982.51,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2019,Construction,Construction,TN,1,24901.70,0,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2017,Service,Services,OB,0,0,54622.69,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2017,Good,Biens,OB,0,0,4333.38,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2017,Construction,Construction,OB,0,0,0,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada
2019,Service,Services,TC,339,30942756.01,9379232.37,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Good,Biens,TC,210,12322803.74,1757699.04,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Construction,Construction,TC,6,118707.60,2442.89,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Service,Services,TN,941,25938777.39,3700259.40,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Good,Biens,TN,209,31470774.73,514389.56,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Construction,Construction,TN,11,214016.20,0,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Service,Services,OB,974,109832859.01,74517888.79,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Good,Biens,OB,333,33502867.26,4112507.00,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Construction,Construction,OB,0,0,0,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Service,Services,AC,13,2415948.30,681658.88,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Good,Biens,AC,0,0,0,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Construction,Construction,AC,0,0,0,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2019,Service,Services,TN,27,566583.08,14195.37,International Joint Commission,Commission mixte internationale
2019,Good,Biens,TN,1,10758.56,0,International Joint Commission,Commission mixte internationale
2019,Construction,Construction,TN,1,14260.60,0,International Joint Commission,Commission mixte internationale
2019,Service,Services,TC,35,1264813.08,45952.00,International Joint Commission,Commission mixte internationale
2019,Good,Biens,TC,15,505309.02,0,International Joint Commission,Commission mixte internationale
2019,Construction,Construction,TC,1,445446.00,0,International Joint Commission,Commission mixte internationale
2017,Service,Services,OB,1,112954.80,0,International Joint Commission,Commission mixte internationale
2017,Good,Biens,OB,0,0,0,International Joint Commission,Commission mixte internationale
2017,Construction,Construction,OB,0,0,0,International Joint Commission,Commission mixte internationale
2019,Service,Services,OB,14,1738679.03,243254439.51,Infrastructure Canada,Infrastructure Canada
2019,Good,Biens,OB,6,173962.49,434044.36,Infrastructure Canada,Infrastructure Canada
2019,Construction,Construction,OB,0,0,0,Infrastructure Canada,Infrastructure Canada
2019,Service,Services,TC,105,8362024.03,2981654.33,Infrastructure Canada,Infrastructure Canada
2019,Good,Biens,TC,30,10559281.71,188267.00,Infrastructure Canada,Infrastructure Canada
2019,Construction,Construction,TC,0,0,0,Infrastructure Canada,Infrastructure Canada
2019,Service,Services,TN,75,2264301.49,152046.34,Infrastructure Canada,Infrastructure Canada
2019,Good,Biens,TN,21,809522.45,144862.34,Infrastructure Canada,Infrastructure Canada
2019,Construction,Construction,TN,0,0,0,Infrastructure Canada,Infrastructure Canada
2018,Service,Services,AC,0,0,11300.00,Infrastructure Canada,Infrastructure Canada
2018,Good,Biens,AC,0,0,0,Infrastructure Canada,Infrastructure Canada
2018,Construction,Construction,AC,0,0,0,Infrastructure Canada,Infrastructure Canada
2019,Service,Services,TC,95,5562072.73,910235.74,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Good,Biens,TC,38,2477837.84,168199.19,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Construction,Construction,TC,0,0,0,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Service,Services,OB,0,0,29459.10,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Good,Biens,OB,0,0,0,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Construction,Construction,OB,0,0,0,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Service,Services,TN,46,1154515.56,56876.98,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Good,Biens,TN,12,508444.83,0,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Construction,Construction,TN,0,0,0,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Service,Services,AC,0,0,-21470.00,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Good,Biens,AC,0,0,0,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2019,Construction,Construction,AC,0,0,0,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada
2018,Service,Services,TC,254,13216732.99,3348662.28,Indigenous Services Canada,Services aux Autochtones Canada
2018,Good,Biens,TC,107,8222876.38,179137.19,Indigenous Services Canada,Services aux Autochtones Canada
2018,Construction,Construction,TC,0,0,0,Indigenous Services Canada,Services aux Autochtones Canada
2018,Service,Services,TN,142,12713033.00,2377451.15,Indigenous Services Canada,Services aux Autochtones Canada
2018,Good,Biens,TN,61,8060259.10,5424.00,Indigenous Services Canada,Services aux Autochtones Canada
2018,Construction,Construction,TN,6,164514.12,61894.50,Indigenous Services Canada,Services aux Autochtones Canada
2018,Service,Services,OB,123,22022390.30,5351559.49,Indigenous Services Canada,Services aux Autochtones Canada
2018,Good,Biens,OB,25,950222.36,512195.78,Indigenous Services Canada,Services aux Autochtones Canada
2018,Construction,Construction,OB,0,0,0,Indigenous Services Canada,Services aux Autochtones Canada
2018,Service,Services,AC,13,651299.50,24428.34,Indigenous Services Canada,Services aux Autochtones Canada
2018,Good,Biens,AC,1,25788.37,0,Indigenous Services Canada,Services aux Autochtones Canada
2018,Construction,Construction,AC,0,0,0,Indigenous Services Canada,Services aux Autochtones Canada
2019,Service,Services,TC,253,12851092.50,2934903.37,Department of Justice Canada,Ministère de la Justice Canada
2019,Good,Biens,TC,107,10549643.34,12807.54,Department of Justice Canada,Ministère de la Justice Canada
2019,Construction,Construction,TC,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2019,Service,Services,TN,210,11466672.74,1597848.68,Department of Justice Canada,Ministère de la Justice Canada
2019,Good,Biens,TN,71,3474181.77,1393383.41,Department of Justice Canada,Ministère de la Justice Canada
2019,Construction,Construction,TN,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2019,Service,Services,OB,325,24727058.37,6700211.77,Department of Justice Canada,Ministère de la Justice Canada
2019,Good,Biens,OB,43,3025139.33,921890.20,Department of Justice Canada,Ministère de la Justice Canada
2019,Construction,Construction,OB,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2019,Service,Services,AC,3,1884561.90,276585.35,Department of Justice Canada,Ministère de la Justice Canada
2019,Good,Biens,AC,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2019,Construction,Construction,AC,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2019,Service,Services,TN,77,1689295.67,88806.53,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Good,Biens,TN,79,5506943.76,522530.73,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Construction,Construction,TN,0,0,0,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Service,Services,TC,113,10608086.12,2134200.96,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Good,Biens,TC,71,3633738.43,281312.82,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Construction,Construction,TC,0,0,0,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Service,Services,OB,39,7046082.63,1574445.96,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Good,Biens,OB,11,3534495.31,195514.22,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Construction,Construction,OB,0,0,0,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Service,Services,AC,4,4810529.14,594607.84,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Good,Biens,AC,0,0,0,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Construction,Construction,AC,0,0,0,Library and Archives Canada,Bibliothèque et Archives Canada
2019,Service,Services,TC,9,366568.69,107355.84,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Good,Biens,TC,14,505378.29,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Construction,Construction,TC,0,0,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Service,Services,TN,4,93573.02,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Good,Biens,TN,7,107915.94,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Construction,Construction,TN,0,0,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Service,Services,AC,1,50850.00,51697.50,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Good,Biens,AC,0,0,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Construction,Construction,AC,0,0,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Service,Services,OB,1,34465.00,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Good,Biens,OB,0,0,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Construction,Construction,OB,0,0,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2019,Service,Services,TC,37,770597.65,350823.70,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2019,Good,Biens,TC,1,15804.00,0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2019,Construction,Construction,TC,0,0,0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2019,Service,Services,OB,15,567582.06,54384.00,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2019,Good,Biens,OB,0,0,0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2019,Construction,Construction,OB,0,0,0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2019,Service,Services,TN,3,57031.00,15266.56,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2019,Good,Biens,TN,0,0,0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2019,Construction,Construction,TN,0,0,0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2019,Service,Services,TN,290,10985570.80,1029654.14,National Film Board,Office national du film
2019,Good,Biens,TN,102,4967766.56,619.25,National Film Board,Office national du film
2019,Construction,Construction,TN,1,42922.47,0,National Film Board,Office national du film
2019,Service,Services,TC,37,5490061.60,51602.79,National Film Board,Office national du film
2019,Good,Biens,TC,48,2780134.76,31277.12,National Film Board,Office national du film
2019,Construction,Construction,TC,2,62000.27,0,National Film Board,Office national du film
2017,Service,Services,OB,4,222500.00,0,National Film Board,Office national du film
2017,Good,Biens,OB,0,0,0,National Film Board,Office national du film
2017,Construction,Construction,OB,0,0,0,National Film Board,Office national du film
2018,Service,Services,AC,120,12724316.88,6779390.91,Natural Resources Canada,Ressources naturelles Canada
2018,Good,Biens,AC,20,2522935.71,149824.33,Natural Resources Canada,Ressources naturelles Canada
2018,Construction,Construction,AC,3,211258.62,40011.30,Natural Resources Canada,Ressources naturelles Canada
2018,Service,Services,TC,1028,78075510.58,26578909.12,Natural Resources Canada,Ressources naturelles Canada
2018,Good,Biens,TC,516,27124261.68,1023469.04,Natural Resources Canada,Ressources naturelles Canada
2018,Construction,Construction,TC,14,609967.05,90498.13,Natural Resources Canada,Ressources naturelles Canada
2018,Service,Services,TN,1835,48340701.07,2666472.20,Natural Resources Canada,Ressources naturelles Canada
2018,Good,Biens,TN,801,20036989.34,496876.62,Natural Resources Canada,Ressources naturelles Canada
2018,Construction,Construction,TN,81,1397747.07,112117.31,Natural Resources Canada,Ressources naturelles Canada
2018,Service,Services,OB,947,114515446.98,22818720.45,Natural Resources Canada,Ressources naturelles Canada
2018,Good,Biens,OB,212,11926125.43,3070293.32,Natural Resources Canada,Ressources naturelles Canada
