year,commodity_type,contracts_count,original_value,amendment_value,department,,,,,
2017,S,19,184338.17,25304.5,Patented Medicine Prices Review Board Canada | Conseil d'examen du prix des médicaments brevetés Canada,,,,,
2017,S,53,1045841,51910,Public Prosecution Service of Canada | Service des poursuites pénales du Canada,,,,,
2017,S,25,39510,472,Public Service Commission of Canada | Commission de la fonction publique du Canada,,,,,
2017,S,70,16566480.12,308318.69,Office of the Public Sector Integrity Commissioner of Canada | Commissariat à l'intégrité du secteur public du Canada,,,,,
2017,S,18,4042520.65,74468.27,Public Safety Canada | Sécurité publique Canada,,,,,
2017,S,93,3130804,330976,Public Services and Procurement Canada | Services publics et Approvisionnement Canada,,,,,
2017,S,58,320652.05,4998.48,Royal Canadian Mounted Police | Gendarmerie royale du Canada,,,,,
2017,S,15,41538,0,Shared Services Canada | Services partagés Canada,,,,,
2017,S,17,160620.07,23222.33,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada,,,,,
2017,S,19,154396.1,-6068.97,Statistics Canada | Statistique Canada,,,,,
2017,S,53,405825,238953,Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,,,,,
2017,S,25,558793,17065,Transport Canada | Transports Canada,,,,,
2017,S,70,6552025.82,0,Veterans Affairs Canada | Anciens Combattants Canada,,,,,
2017,S,18,5929164.8,492315.08,Veterans Review and Appeal Board | Tribunal des anciens combattants (révision et appel),,,,,
2017,S,93,8960838.23,-24387.37,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada,,,,,
2017,C,58,210744.92,-3520.51,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,,,,,
2017,C,10,1511165.09,36164.33,Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,,,,,
2017,C,54,81992,16313,Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,,,,,
2017,C,28,355673.27,50883.89,Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord,,,,,
2017,C,22,156231.31,0,Courts Administration Service | Service administratif des tribunaux judiciaires,,,,,
2017,C,187,256386.48,5592.48,Canada Border Services Agency | Agence des services frontaliers du Canada,,,,,
2017,C,13,573532.03,12981.13,Canadian Centre for Occupational Health and Safety | Centre canadien d'hygiène et de sécurité au travail,,,,,
2017,C,96,550588.95,31960.45,Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,,,,,
2017,C,30,284961,24750,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,,,,,
2017,C,20,196257,5755,Canadian Grain Commission | Commission canadienne des grains,,,,,
2017,C,27,11957986.69,1214201.29,Canadian Human Rights Commission | Commission canadienne des droits de la personne,,,,,
2017,C,51,3123782.87,278278.73,"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",,,,,
2017,C,85,2731069.07,342125.32,Canadian Intergovernmental Conference Secretariat | Secrétariat des conférences intergouvernementales canadiennes,,,,,
2017,C,157,152633,3322.2,Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,,,,,
2017,C,27,181178.5,2983.2,Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,,,,,
2017,C,92,436087.51,47103.41,Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,,,,,
2017,C,58,1171348.68,9777.34,Canada Revenue Agency | Agence du revenu du Canada,,,,,
2017,C,10,123222.15,9472.23,Canadian Space Agency | Agence spatiale canadienne,,,,,
2017,C,54,911526.25,151225,Correctional Service of Canada | Service correctionnel du Canada,,,,,
2017,C,28,214558913.4,2405578.12,Canada School of Public Service | École de la fonction publique du Canada,,,,,
2017,C,22,6649019.76,960399.79,Canadian Transportation Agency | Office des transports du Canada,,,,,
2017,C,187,1783696.94,75078.21,Global Affairs Canada | Affaires mondiales Canada,,,,,
2017,C,13,46260.63,-859.7,Fisheries and Oceans Canada | Pêches et Océans Canada,,,,,
2017,C,96,361364.58,3998.45,National Defence | Défense nationale,,,,,
2017,C,30,309645.81,38182.14,Environment and Climate Change Canada | Environnement et Changement climatique Canada,,,,,
2017,C,4,2511593.4,174233.37,Elections Canada | Élections Canada,,,,,
2017,C,23,3123782.87,278278.73,Employment and Social Development Canada | Emploi et Développement social Canada,,,,,
2017,C,245,2731069.07,342125.32,Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,,,,,
2017,C,42,152633,3322.2,Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,,,,,
2017,C,157,181178.5,2983.2,Department of Finance Canada | Ministère des Finances Canada,,,,,
2017,C,27,436087.51,47103.41,Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,,,,,
2017,C,92,1171348.68,9777.34,Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat à la magistrature fédérale Canada,,,,,
2017,C,61,123222.15,9472.23,Farm Products Council of Canada | Conseil des produits agricoles du Canada,,,,,
2017,C,13,911526.25,151225,Health Canada | Santé Canada,,,,,
2017,C,15,214558913.4,2405578.12,"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",,,,,
2017,C,17,6649019.76,960399.79,Department of Justice | Ministère de la Justice,,,,,
2017,C,19,1783696.94,75078.21,Library and Archives Canada | Bibliothèque et Archives Canada,,,,,
2017,C,53,46260.63,-859.7,Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,,,,,
2017,C,25,361364.58,3998.45,Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,,,,,
2017,C,70,309645.81,38182.14,National Energy Board | Office national de l'énergie,,,,,
2017,C,18,2511593.4,174233.37,National Film Board | Office national du film,,,,,
2017,C,23,542775.62,8155.81,Natural Resources Canada | Ressources naturelles Canada,,,,,
2017,C,67,127982.59,0,National Research Council Canada | Conseil national de recherches Canada,,,,,
2017,C,23,114890.02,0,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada,,,,,
2017,C,78,388839.08,-40425.83,Office of the Auditor General of Canada | Bureau du vérificateur général du Canada,,,,,
2017,C,4,405947,26802,Office of the Commissioner of Lobbying of Canada | Commissariat au lobbying du Canada,,,,,
2017,C,23,184338.17,25304.5,Office of the Commissioner of Official Languages | Commissariat aux langues officielles,,,,,
2017,C,245,1045841,51910,Office of the Information Commissioner of Canada | Commissariat à l'information du Canada,,,,,
2017,C,42,39510,472,Office of the Privacy Commissioner of Canada | Commissariats à l’information et à la protection de la vie privée au Canada,,,,,
2017,C,62,16566480.12,308318.69,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financières Canada,,,,,
2017,C,53,4042520.65,74468.27,Office of the Secretary to the Governor General | Bureau du secrétaire du gouverneur général,,,,,
