department,year,type,number_contracts,contracts_value
Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,2018,Services,4,250371.10
Employment and Social Development Canada | Emploi et Développement social Canada,2008,Other,1992,462589292.31
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2012,Goods,14,392953.09
Canada Border Services Agency | Agence des services frontaliers du Canada,2017,Construction,5,335195.39
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2009,Other,88,149205330.22
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2018,Goods,93,22306838.28
Employment and Social Development Canada | Emploi et Développement social Canada,2012,Services,6,115726138.75
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2012,Construction,3,95483.98
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2017,Goods,10,200849.89
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2016,Goods,5,155656.76
Canada Revenue Agency | Agence du revenu du Canada,2015,Other,1138,173161785.25
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2018,Construction,1,33112.80
Canada Revenue Agency | Agence du revenu du Canada,2003,Other,18,139533282.71
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,2016,Services,23,4342012.91
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2017,Construction,1,11115.29
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2018,Services,657,39423395.92
Canada Border Services Agency | Agence des services frontaliers du Canada,2017,Services,463,261797325.93
Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,2018,Goods,7,123242.02
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2011,Services,105,4812970.65
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,2017,Goods,43,1411729.44
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017,Services,495,96976100.09
Library and Archives Canada | Bibliothèque et Archives Canada,2018,Services,77,5839085.87
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2018,Goods,645,37647357.97
Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,2014,Services,4,855462.76
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2016,Services,34,1130545.00
Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,2017,Services,6,251717.88
Employment and Social Development Canada | Emploi et Développement social Canada,2007,Other,1819,343037623.34
Canada Border Services Agency | Agence des services frontaliers du Canada,2018,Goods,191,36978184.17
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2017,Goods,123,15826064.01
Canada Border Services Agency | Agence des services frontaliers du Canada,2018,Construction,2,51296.69
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2018,Goods,6,498425.88
Library and Archives Canada | Bibliothèque et Archives Canada,2018,Goods,42,5314151.00
Employment and Social Development Canada | Emploi et Développement social Canada,2013,Services,4,108078510.84
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2013,Goods,12,371580.60
Indigenous Services Canada | Services aux Autochtones Canada,2013,Services,1,2197596.04
Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord,2017,Goods,1,21182.84
Canada Revenue Agency | Agence du revenu du Canada,2016,Other,876,98716529.62
Canada Revenue Agency | Agence du revenu du Canada,2004,Other,1665,207496622.78
Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,2016,Goods,1,10250.00
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2013,Construction,2,40622.77
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,2017,Services,53,5202249.10
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,2018,Services,73,10333589.37
Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,2017,Goods,4,297772.89
Canada Border Services Agency | Agence des services frontaliers du Canada,2018,Services,314,108516042.59
Correctional Service of Canada | Service correctionnel du Canada,2009,Goods,2,55319735.90
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2012,Services,76,2523842.02
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,2018,Goods,25,2866834.95
Library and Archives Canada | Bibliothèque et Archives Canada,2017,Services,115,20332279.10
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2017,Services,71,6623144.25
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2016,Services,212,61276519.96
Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,2017,Construction,1,13805.54
National Defence | Défense nationale,2016,Services,1003,367552228.86
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,2018,Services,46,1976070.08
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2015,Services,6,482603.77
National Defence | Défense nationale,2004,Services,1,192780.00
Department of Finance Canada | Ministère des Finances Canada,2018,Goods,23,1428874.19
Fisheries and Oceans Canada | Pêches et Océans Canada,2011,Services,10,3292487.07
Correctional Service of Canada | Service correctionnel du Canada,2009,Services,2,1879945.81
Courts Administration Service | Service administratif des tribunaux judiciaires,2016,Goods,10,1970715.64
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2010,Goods,17,358796.08
Canadian Transportation Agency | Office des transports du Canada,2016,Services,59,6841033.91
Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,2017,Goods,19,733839.79
National Defence | Défense nationale,2016,Goods,1048,113468782.29
Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,2018,Services,14,323142.45
Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,2016,Services,9,991861.06
National Defence | Défense nationale,2016,Construction,116,11864572.14
Courts Administration Service | Service administratif des tribunaux judiciaires,2016,Services,28,7034455.32
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2013,Services,5,3886987.06
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2016,Goods,42,1836947.41
Canadian Transportation Agency | Office des transports du Canada,2017,Services,47,4622038.33
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2010,Other,4607,285489868.44
Department of Finance Canada | Ministère des Finances Canada,2017,Services,134,15982738.21
Canada Revenue Agency | Agence du revenu du Canada,2010,Goods,2,2118375.00
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2014,Services,4,2077963.06
Canadian Transportation Agency | Office des transports du Canada,2017,Goods,11,493977.73
Employment and Social Development Canada | Emploi et Développement social Canada,2010,Other,2002,298429076.12
Farm Products Council of Canada | Conseil des produits agricoles du Canada,2014,Services,1,5650.00
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2009,Services,40,1118274.37
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2014,Services,7,4834672.00
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,2017,Services,99,15355014.92
Department of Finance Canada | Ministère des Finances Canada,2017,Goods,24,4502341.95
National Defence | Défense nationale,2015,Services,183,69532362.18
Courts Administration Service | Service administratif des tribunaux judiciaires,2017,Goods,34,1582932.93
Canada Revenue Agency | Agence du revenu du Canada,2010,Services,13,0.00
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2011,Goods,11,218742.19
Fisheries and Oceans Canada | Pêches et Océans Canada,2012,Services,45,6864215.90
Canadian Transportation Agency | Office des transports du Canada,2015,Services,6,401674.90
National Research Council Canada | Conseil national de recherches Canada,2018,Services,23,2308006.75
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2009,Goods,10,416044.59
Fisheries and Oceans Canada | Pêches et Océans Canada,2013,Construction,2,83679.36
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2011,Services,2,244028.51
National Defence | Défense nationale,2003,Goods,1,123910.00
Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,2018,Goods,16,682933.91
National Defence | Défense nationale,2015,Goods,42,1337462287.10
Courts Administration Service | Service administratif des tribunaux judiciaires,2017,Services,71,7201694.16
Department of Finance Canada | Ministère des Finances Canada,2016,Services,144,11648503.91
Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,2017,Services,56,2852697.91
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,2018,Construction,1,19047.09
National Defence | Défense nationale,2015,Construction,36,898665.53
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2012,Services,1,641966.00
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2014,Goods,1,109881.69
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2008,Goods,29,2370387.30
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,2018,Goods,30,1792087.29
Canada Revenue Agency | Agence du revenu du Canada,2011,Goods,3,435000.00
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2017,Goods,315,31572817.55
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2015,Services,1,85466.41
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2008,Services,63,2073562.07
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2010,Services,163,6786794.82
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2017,Construction,13,248616.15
Canadian Transportation Agency | Office des transports du Canada,2016,Goods,7,216347.79
Global Affairs Canada | Affaires mondiales Canada,2009,Other,2396,241891627.99
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2013,Services,1,1008822.92
Canadian Space Agency | Agence spatiale canadienne,1999,Services,2,887072626.20
National Defence | Défense nationale,2014,Services,55,5346206087.80
Courts Administration Service | Service administratif des tribunaux judiciaires,2018,Construction,6,502209.10
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2013,Services,1,137860.00
Canada Revenue Agency | Agence du revenu du Canada,2011,Services,14,9742985.29
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,2016,Services,36,11972873.33
Courts Administration Service | Service administratif des tribunaux judiciaires,2018,Goods,61,3824310.68
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,2012,Services,1,1453887.84
Canadian Transportation Agency | Office des transports du Canada,2014,Services,2,118974.72
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2017,Services,1117,363871056.43
National Research Council Canada | Conseil national de recherches Canada,2017,Services,496,61879052.49
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2017,Goods,17,1046576.01
National Defence | Défense nationale,2014,Goods,16,53238098.14
Department of Finance Canada | Ministère des Finances Canada,2016,Goods,16,1238739.53
Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,2016,Services,20,558172.94
Courts Administration Service | Service administratif des tribunaux judiciaires,2018,Services,86,8666090.33
Atlantic Canada Opportunities Agency | Agence de promotion économique du Canada atlantique,2018,Services,39,1067954.61
Natural Resources Canada | Ressources naturelles Canada,2018,Services,1068,77826371.67
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,2017,Goods,25,1931187.31
Canada Revenue Agency | Agence du revenu du Canada,2012,Goods,5,628757.21
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2015,Services,21,4246218.76
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2007,Goods,41,1241817.37
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2018,Goods,247,49783863.26
National Research Council Canada | Conseil national de recherches Canada,2018,Construction,3,160808.04
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2016,Services,6,459026.33
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2015,Goods,2,1137247.51
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2007,Services,71,1646008.42
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2018,Construction,4,60123.79
National Research Council Canada | Conseil national de recherches Canada,2018,Goods,12,344247.84
National Defence | Défense nationale,2001,Services,1,2670061.62
National Defence | Défense nationale,2013,Services,29,85912647.73
Canada Revenue Agency | Agence du revenu du Canada,2012,Services,25,40534992.81
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,2015,Services,1,749100.40
Fisheries and Oceans Canada | Pêches et Océans Canada,2010,Services,10,508022.23
National Research Council Canada | Conseil national de recherches Canada,2016,Services,9,3864671.77
"Innovation, Science and Economic Development Canada | Innovation, Sciences et Développement économique Canada",2018,Services,909,147766726.38
Military Police Complaints Commission of Canada | Commission d'examen des plaintes concernant la police militaire du Canada,2017,Services,22,1119595.26
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2016,Goods,2,38304.29
National Defence | Défense nationale,2013,Goods,7,34182740.45
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2006,Goods,29,963793.61
Canada Revenue Agency | Agence du revenu du Canada,2013,Goods,9,10160173.50
Canadian Nuclear Safety Commission | Commission canadienne de sûreté nucléaire,2014,Services,9,2704556.43
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2018,Goods,13,939379.04
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2006,Services,55,1384096.67
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,2016,Goods,11,674124.06
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2015,Services,2,38813.00
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2018,Services,24,1490224.88
National Research Council Canada | Conseil national de recherches Canada,2017,Construction,76,100182762.15
National Defence | Défense nationale,2012,Services,9,203168018.43
National Research Council Canada | Conseil national de recherches Canada,2017,Goods,305,12388170.19
Canada Revenue Agency | Agence du revenu du Canada,2013,Services,89,59399798.36
Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs,2014,Services,3,3515977.05
Canada Revenue Agency | Agence du revenu du Canada,2009,Other,2589,537061593.97
Infrastructure Canada | Infrastructure Canada,2017,Goods,28,9622440.75
National Defence | Défense nationale,2012,Goods,11,49734388.48
Canada Revenue Agency | Agence du revenu du Canada,2014,Goods,5,15023654.31
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2017,Goods,13,534435.26
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2005,Goods,8,545263.36
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2017,Services,24,887503.95
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2005,Services,41,1025445.94
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2011,Services,1,243231338.00
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2014,Other,4077,282697473.02
Employment and Social Development Canada | Emploi et Développement social Canada,2002,Other,7,110547935.69
Employment and Social Development Canada | Emploi et Développement social Canada,2014,Other,1294,218341123.40
National Defence | Défense nationale,2011,Services,5,20661077.30
Farm Products Council of Canada | Conseil des produits agricoles du Canada,2018,Services,3,53520.00
Canada Revenue Agency | Agence du revenu du Canada,2014,Services,129,68412228.92
Infrastructure Canada | Infrastructure Canada,2018,Goods,21,979260.86
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2004,Services,14,343010.78
National Defence | Défense nationale,2011,Goods,5,11612493.06
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2018,Services,74,7229476.87
Infrastructure Canada | Infrastructure Canada,2018,Services,75,4745362906.51
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2004,Goods,6,393874.94
Canada Revenue Agency | Agence du revenu du Canada,2015,Goods,22,7031522.83
Infrastructure Canada | Infrastructure Canada,2017,Services,95,10085881.55
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2016,Goods,5,238878.45
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2016,Services,11,426474.98
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2013,Other,4468,285006935.12
Employment and Social Development Canada | Emploi et Développement social Canada,2001,Other,2,119769395.00
Employment and Social Development Canada | Emploi et Développement social Canada,2013,Other,1303,379601426.56
Farm Products Council of Canada | Conseil des produits agricoles du Canada,2017,Services,3,82844.38
Canada Revenue Agency | Agence du revenu du Canada,2015,Services,311,179026059.62
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2015,Services,4,70862.32
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2017,Services,104,10131620.75
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2018,Goods,31,1952269.04
Canada Revenue Agency | Agence du revenu du Canada,2016,Goods,107,26189243.37
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2015,Goods,17,1258731.40
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2012,Other,4094,272299810.10
Library and Archives Canada | Bibliothèque et Archives Canada,2010,Services,1,21953.38
Farm Products Council of Canada | Conseil des produits agricoles du Canada,2016,Services,1,60000.00
Employment and Social Development Canada | Emploi et Développement social Canada,2000,Other,2,35177027.61
Employment and Social Development Canada | Emploi et Développement social Canada,2012,Other,1296,235193767.84
Canada Revenue Agency | Agence du revenu du Canada,2016,Services,342,123192818.81
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2016,Services,171,9685620.42
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2014,Services,5,160227.45
Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,2017,Goods,64,2823104.02
Canada Revenue Agency | Agence du revenu du Canada,2017,Goods,309,74466008.25
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2014,Goods,9,747135.50
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2011,Other,3869,259347823.68
Employment and Social Development Canada | Emploi et Développement social Canada,2011,Other,1771,240969804.49
Canada Revenue Agency | Agence du revenu du Canada,2017,Services,645,100881056.20
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2017,Services,1060,145188867.84
Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,2017,Services,45,2162025.10
Fisheries and Oceans Canada | Pêches et Océans Canada,2007,Other,132,47607598.96
Global Affairs Canada | Affaires mondiales Canada,2014,Services,77,80456641.37
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2014,Goods,1,68994.89
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2018,Services,1213,71454172.93
Health Canada | Santé Canada,2014,Construction,2,126306.41
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2014,Services,40,31273478.37
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2017,Goods,116,7110621.82
National Energy Board | Office national de l'énergie,2018,Services,135,22900210.05
Natural Resources Canada | Ressources naturelles Canada,2013,Goods,2,3011599.99
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2018,Construction,2,28371.50
Canada Revenue Agency | Agence du revenu du Canada,2018,Goods,127,29752694.71
Elections Canada | Élections Canada,2017,Goods,49,4339508.87
National Energy Board | Office national de l'énergie,2018,Goods,31,2594861.27
Global Affairs Canada | Affaires mondiales Canada,2014,Goods,5,1577520.11
Global Affairs Canada | Affaires mondiales Canada,2014,Other,3279,408298757.79
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2009,Other,162,4440316.17
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2018,Goods,454,36057638.47
Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,2018,Goods,6,346420.13
Global Affairs Canada | Affaires mondiales Canada,2014,Construction,4,649837.28
Health Canada | Santé Canada,2014,Goods,2,7374000.00
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2015,Goods,3,210588.95
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2018,Construction,101,5248513.67
Correctional Service of Canada | Service correctionnel du Canada,2012,Other,311,191911865.00
Health Canada | Santé Canada,2014,Services,38,13489549.41
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2015,Construction,3,890048.30
Canada Revenue Agency | Agence du revenu du Canada,2018,Services,357,44085730.28
Elections Canada | Élections Canada,2017,Services,308,279967933.33
Fisheries and Oceans Canada | Pêches et Océans Canada,2007,Services,1,17687098.19
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2006,Other,2632,107081751.84
National Research Council Canada | Conseil national de recherches Canada,2010,Other,2545,175027795.00
Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,2016,Services,26,602145.08
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2016,Services,23,6498535.44
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2004,Services,1,284630.29
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2013,Goods,1,1209063.37
Global Affairs Canada | Affaires mondiales Canada,2015,Services,142,117725270.49
Health Canada | Santé Canada,2015,Goods,5,2423360.14
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2013,Services,8,27885912.39
National Energy Board | Office national de l'énergie,2017,Services,195,36114904.78
Fisheries and Oceans Canada | Pêches et Océans Canada,2006,Other,23,2772955.54
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2016,Goods,2,744673.03
National Energy Board | Office national de l'énergie,2017,Goods,43,3362191.18
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2017,Construction,9,2493409.68
Natural Resources Canada | Ressources naturelles Canada,2013,Services,3,3297866.12
Elections Canada | Élections Canada,2018,Goods,41,5814770.87
Global Affairs Canada | Affaires mondiales Canada,2015,Goods,12,3992767.72
Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,2017,Goods,7,124468.22
Global Affairs Canada | Affaires mondiales Canada,2013,Other,3074,349414711.80
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2008,Other,147,3850980.56
Global Affairs Canada | Affaires mondiales Canada,2015,Construction,9,11177682.23
National Energy Board | Office national de l'énergie,2016,Goods,1,42630.00
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2005,Other,2891,112806096.12
Correctional Service of Canada | Service correctionnel du Canada,2013,Other,630,331679013.00
Fisheries and Oceans Canada | Pêches et Océans Canada,2008,Services,15,746276.39
Health Canada | Santé Canada,2015,Services,48,18990411.14
Elections Canada | Élections Canada,2018,Services,243,46793947.00
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2015,Services,14,2333309.45
National Energy Board | Office national de l'énergie,2016,Services,186,21132247.08
Global Affairs Canada | Affaires mondiales Canada,2016,Services,244,90448403.90
Canadian Human Rights Commission | Commission canadienne des droits de la personne,2018,Goods,11,1019920.56
Health Canada | Santé Canada,2012,Construction,1,72104.77
Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments,2012,Services,11,10277835.63
Fisheries and Oceans Canada | Pêches et Océans Canada,2018,Goods,1873,1685575491.34
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2016,Services,23,6825847.66
Fisheries and Oceans Canada | Pêches et Océans Canada,2005,Other,6,3364166.62
Canada Revenue Agency | Agence du revenu du Canada,2008,Goods,2,11801022.98
Fisheries and Oceans Canada | Pêches et Océans Canada,2018,Construction,787,50557743.08
Global Affairs Canada | Affaires mondiales Canada,2016,Goods,18,2574549.27
Canadian Human Rights Commission | Commission canadienne des droits de la personne,2018,Services,32,838446.67
National Energy Board | Office national de l'énergie,2016,Construction,2,32391.56
Global Affairs Canada | Affaires mondiales Canada,2016,Construction,21,6605426.69
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2007,Other,123,4538205.62
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2016,Goods,2,224120.79
National Energy Board | Office national de l'énergie,2016,Goods,36,4131659.13
Correctional Service of Canada | Service correctionnel du Canada,2014,Other,3176,408599603.00
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2016,Other,2509,195466170.84
Health Canada | Santé Canada,2012,Services,5,2044343.34
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2004,Other,2003,63137446.06
Global Affairs Canada | Affaires mondiales Canada,2016,Other,2694,229098694.18
Canada Revenue Agency | Agence du revenu du Canada,2008,Services,1,20650261.32
Global Affairs Canada | Affaires mondiales Canada,2004,Other,1235,74137671.29
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2016,Construction,1,401789.22
Fisheries and Oceans Canada | Pêches et Océans Canada,2017,Services,3195,494764946.45
Civilian Review and Complaints Commission for the RCMP | Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,2018,Services,26,1162870.57
Global Affairs Canada | Affaires mondiales Canada,2017,Services,2200,229524553.60
National Defence | Défense nationale,2009,Services,5,1220514519.42
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2017,Services,1812,140776536.05
Fisheries and Oceans Canada | Pêches et Océans Canada,2007,Goods,1,28586.70
Canada Revenue Agency | Agence du revenu du Canada,2009,Goods,1,10015384.97
Fisheries and Oceans Canada | Pêches et Océans Canada,2004,Other,9,448709.16
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2006,Other,156,3851050.64
Global Affairs Canada | Affaires mondiales Canada,2017,Goods,971,72875354.35
National Defence | Défense nationale,2009,Goods,4,36125668.21
Canadian Human Rights Commission | Commission canadienne des droits de la personne,2017,Services,3,115596.17
Global Affairs Canada | Affaires mondiales Canada,2017,Construction,319,35319987.75
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2017,Goods,655,53618581.03
Canadian Intergovernmental Conference Secretariat | Secrétariat des conférences intergouvernementales canadiennes,2018,Services,11,192483.35
Correctional Service of Canada | Service correctionnel du Canada,2015,Other,3753,303457164.00
Health Canada | Santé Canada,2013,Goods,3,834706.56
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2015,Other,2850,188727329.87
Canada Revenue Agency | Agence du revenu du Canada,2009,Services,1,214695.89
Environment and Climate Change Canada | Environnement et Changement climatique Canada,2017,Construction,166,13922866.91
Canadian Intergovernmental Conference Secretariat | Secrétariat des conférences intergouvernementales canadiennes,2018,Goods,4,71042.48
Global Affairs Canada | Affaires mondiales Canada,2015,Other,3254,297783496.18
Health Canada | Santé Canada,2013,Services,25,13232587.37
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2014,Services,9,6433871.75
Fisheries and Oceans Canada | Pêches et Océans Canada,2006,Services,1,17408.34
Fisheries and Oceans Canada | Pêches et Océans Canada,2018,Services,2145,306184465.57
