department,year,type,number_contracts,contracts_value
Canadian Grain Commission | Commission canadienne des grains,2016,Services,2,176854.58
Canadian Space Agency | Agence spatiale canadienne,2014,Goods,2,8438745.21
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2007,Other,45,1269344.19
Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat à la magistrature fédérale Canada,2016,Services,2,68403.41
Natural Resources Canada | Ressources naturelles Canada,2015,Other,2059,145896638.16
Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat à la magistrature fédérale Canada,2016,Goods,1,11328.22
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2005,Other,32,972936.72
Canadian Centre for Occupational Health and Safety | Centre canadien d'hygiène et de sécurité au travail,2018,Services,15,576758.96
Canadian Space Agency | Agence spatiale canadienne,2014,Services,9,123067248.93
Fisheries and Oceans Canada | Pêches et Océans Canada,2014,Other,5733,1847015338.37
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2012,Other,545,257675011.62
Correctional Service of Canada | Service correctionnel du Canada,2010,Services,4,3686851.16
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2016,Other,68,2699308.29
Canadian Space Agency | Agence spatiale canadienne,2013,Services,10,1102938875.61
National Defence | Défense nationale,2013,Other,15112,6509963316.66
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2004,Other,89,5985572.00
Canada Border Services Agency | Agence des services frontaliers du Canada,2012,Services,32,52583110.01
Canadian Grain Commission | Commission canadienne des grains,2017,Construction,1,15029.70
National Research Council Canada | Conseil national de recherches Canada,2009,Other,1859,122285082.00
Canadian Grain Commission | Commission canadienne des grains,2017,Goods,73,3752008.24
Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat à la magistrature fédérale Canada,2017,Construction,1,24012.50
Indigenous and Northern Affairs Canada | Affaires autochtones et du Nord Canada,2012,Services,3,605984.23
Canadian Space Agency | Agence spatiale canadienne,2014,Construction,6,3426567.52
Canada Border Services Agency | Agence des services frontaliers du Canada,2012,Goods,9,115220674.93
Department of Justice | Ministère de la Justice,2015,Services,6,3289199.04
Canadian Space Agency | Agence spatiale canadienne,2015,Goods,4,3232512.52
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2016,Other,39,1829493.34
Natural Resources Canada | Ressources naturelles Canada,2014,Other,1993,128136124.29
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2004,Other,48,1028735.14
Fisheries and Oceans Canada | Pêches et Océans Canada,2001,Other,1,108530.00
Health Canada | Santé Canada,2016,Goods,17,4308173.83
Fisheries and Oceans Canada | Pêches et Océans Canada,2013,Other,6157,735007626.79
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2004,Other,25,631978.91
Global Affairs Canada | Affaires mondiales Canada,2008,Services,1,25526318.05
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2016,Other,19,1298961.35
Health Canada | Santé Canada,2016,Construction,5,349670.85
Canada School of Public Service | École de la fonction publique du Canada,2018,Services,46,1763769.43
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2013,Other,614,132180295.35
Correctional Service of Canada | Service correctionnel du Canada,2011,Services,20,141720581.33
Canadian Space Agency | Agence spatiale canadienne,2015,Services,39,813754595.95
National Defence | Défense nationale,2002,Other,2,6327563.92
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2015,Other,51,2560924.01
National Research Council Canada | Conseil national de recherches Canada,2008,Other,110,77837359.00
Canadian Grain Commission | Commission canadienne des grains,2016,Goods,1,71139.91
Global Affairs Canada | Affaires mondiales Canada,2012,Other,3045,358581527.68
National Defence | Défense nationale,2014,Other,15509,9268146991.54
Health Canada | Santé Canada,2016,Services,205,63911914.17
Fisheries and Oceans Canada | Pêches et Océans Canada,2009,Services,20,1622721.95
Canadian Space Agency | Agence spatiale canadienne,2015,Construction,3,1487086.66
Canadian Space Agency | Agence spatiale canadienne,2016,Goods,3,291353.47
Correctional Service of Canada | Service correctionnel du Canada,2012,Goods,1,99234.33
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2009,Services,61,1754725.08
Natural Resources Canada | Ressources naturelles Canada,2013,Other,2068,283018972.01
Canadian Space Agency | Agence spatiale canadienne,2004,Goods,1,163836206.96
Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat à la magistrature fédérale Canada,2018,Services,39,3026531.72
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2005,Other,54,1243887.18
Fisheries and Oceans Canada | Pêches et Océans Canada,2012,Other,6570,524576371.03
Office of the Commissioner for Federal Judicial Affairs Canada | Commissariat à la magistrature fédérale Canada,2018,Goods,8,382070.29
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2015,Other,59,2674323.99
Health Canada | Santé Canada,2017,Goods,425,32037253.14
Canadian Space Agency | Agence spatiale canadienne,2016,Services,40,472180102.89
Canada School of Public Service | École de la fonction publique du Canada,2017,Services,64,11068432.18
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2014,Other,599,90440265.00
Correctional Service of Canada | Service correctionnel du Canada,2012,Services,50,52265074.82
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2009,Goods,1,13931.00
Health Canada | Santé Canada,2017,Construction,36,2188419.54
Canada Border Services Agency | Agence des services frontaliers du Canada,2010,Services,4,6218729.90
Department of Justice | Ministère de la Justice,2013,Services,1,473748.34
Canada Economic Development for Quebec Regions | Développement économique Canada pour les régions du Québec,2014,Other,59,3384207.08
Correctional Service of Canada | Service correctionnel du Canada,2007,Other,2,4079606.00
National Defence | Défense nationale,2003,Other,2,173250.00
Global Affairs Canada | Affaires mondiales Canada,2011,Other,3318,365890112.89
National Defence | Défense nationale,2015,Other,17041,6571048668.42
National Research Council Canada | Conseil national de recherches Canada,2007,Other,48,30076717.00
Canada School of Public Service | École de la fonction publique du Canada,2018,Goods,22,1186666.62
Canadian Space Agency | Agence spatiale canadienne,2016,Construction,6,17074881.66
Correctional Service of Canada | Service correctionnel du Canada,2013,Construction,1,55125.00
Canada Border Services Agency | Agence des services frontaliers du Canada,2010,Goods,1,114706.00
Health Canada | Santé Canada,2017,Services,1327,152142240.93
Canada Border Services Agency | Agence des services frontaliers du Canada,2015,Goods,56,231413193.63
Correctional Service of Canada | Service correctionnel du Canada,2013,Goods,4,5939966.56
Natural Resources Canada | Ressources naturelles Canada,2012,Other,2172,222511455.93
Employment and Social Development Canada | Emploi et Développement social Canada,2006,Other,2000,1796341529.21
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2018,Services,27,6170128.43
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2013,Services,26,1416460.16
Canada School of Public Service | École de la fonction publique du Canada,2016,Goods,7,656686.82
Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord,2018,Goods,2,114190.92
Canada Revenue Agency | Agence du revenu du Canada,2017,Other,341,8886898.09
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2016,Goods,11,8340412.20
Canada Revenue Agency | Agence du revenu du Canada,2005,Other,2858,417138626.18
Canada School of Public Service | École de la fonction publique du Canada,2016,Services,21,2864251.37
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2015,Other,758,298594802.81
Correctional Service of Canada | Service correctionnel du Canada,2013,Services,114,54420629.85
Indigenous Services Canada | Services aux Autochtones Canada,2014,Services,7,1370219.35
Employment and Social Development Canada | Emploi et Développement social Canada,2006,Services,1,722543485.66
Employment and Social Development Canada | Emploi et Développement social Canada,2018,Services,751,94735290.45
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2018,Goods,1,11936.79
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2013,Goods,22,788019.17
Canada Border Services Agency | Agence des services frontaliers du Canada,2015,Services,267,184543555.37
Canada School of Public Service | École de la fonction publique du Canada,2017,Goods,37,1626552.02
Department of Justice | Ministère de la Justice,2018,Services,225,15462309.77
Correctional Service of Canada | Service correctionnel du Canada,2014,Construction,1,1204370.90
Employment and Social Development Canada | Emploi et Développement social Canada,2018,Goods,101,23304091.03
Library and Archives Canada | Bibliothèque et Archives Canada,2012,Services,2,36006.80
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2015,Services,24,7769960.87
Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord,2017,Services,7,186389.85
Correctional Service of Canada | Service correctionnel du Canada,2014,Goods,11,4092305.16
Employment and Social Development Canada | Emploi et Développement social Canada,2018,Construction,2,43603.38
Employment and Social Development Canada | Emploi et Développement social Canada,2005,Other,1987,322772691.83
Employment and Social Development Canada | Emploi et Développement social Canada,2017,Other,1,20853.09
Canada Border Services Agency | Agence des services frontaliers du Canada,2016,Goods,237,27810194.80
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2016,Other,719,107524883.43
Natural Resources Canada | Ressources naturelles Canada,2011,Other,1421,327152588.02
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2012,Services,43,2035413.73
Canadian Space Agency | Agence spatiale canadienne,2010,Goods,2,975153.32
Canada Border Services Agency | Agence des services frontaliers du Canada,2016,Construction,8,1451805.78
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2009,Other,68,2575413.64
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2015,Goods,17,34267616.64
Canada Revenue Agency | Agence du revenu du Canada,2006,Other,2805,661170380.33
Canada School of Public Service | École de la fonction publique du Canada,2015,Services,2,415840.00
Correctional Service of Canada | Service correctionnel du Canada,2014,Services,240,120917567.89
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2012,Services,2,3298197.02
Indigenous Services Canada | Services aux Autochtones Canada,2015,Services,6,6713478.01
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2012,Goods,36,1568809.46
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2014,Goods,1,1069360.00
Canada Border Services Agency | Agence des services frontaliers du Canada,2016,Services,644,232948771.72
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2014,Services,16,16110814.48
Correctional Service of Canada | Service correctionnel du Canada,2015,Construction,5,843321.51
Library and Archives Canada | Bibliothèque et Archives Canada,2011,Services,4,116586.94
Indigenous Services Canada | Services aux Autochtones Canada,2016,Goods,1,296592.00
Canadian Northern Economic Development Agency | Agence canadienne de développement économique du Nord,2018,Services,9,405890.53
Correctional Service of Canada | Service correctionnel du Canada,2015,Goods,52,46096767.95
Employment and Social Development Canada | Emploi et Développement social Canada,2016,Other,969,123152792.62
Department of Justice | Ministère de la Justice,2017,Goods,81,7100575.44
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2011,Services,61,1944275.27
Natural Resources Canada | Ressources naturelles Canada,2010,Other,23,23499600.23
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2008,Other,90,2926287.43
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2005,Other,5,37568234.53
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2008,Other,43,1281767.14
Canada Revenue Agency | Agence du revenu du Canada,2007,Other,3215,1108230813.55
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2016,Goods,3,138802.91
Correctional Service of Canada | Service correctionnel du Canada,2015,Services,379,125526089.71
Library and Archives Canada | Bibliothèque et Archives Canada,2015,Goods,1,189278.04
Employment and Social Development Canada | Emploi et Développement social Canada,2004,Services,2,1671252520.70
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2013,Services,1,156612.47
Employment and Social Development Canada | Emploi et Développement social Canada,2016,Services,404,115011674.29
Indigenous Services Canada | Services aux Autochtones Canada,2016,Services,18,8218951.82
Canada Border Services Agency | Agence des services frontaliers du Canada,2013,Services,73,168150047.52
National Defence | Défense nationale,2010,Other,16787,6604719100.23
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2013,Goods,2,754822.80
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2013,Services,10,3663858.58
Correctional Service of Canada | Service correctionnel du Canada,2016,Construction,148,14631569.29
Employment and Social Development Canada | Emploi et Développement social Canada,2016,Goods,1,270262.35
Library and Archives Canada | Bibliothèque et Archives Canada,2014,Services,4,213844.09
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2014,Goods,4,619521.32
Indigenous Services Canada | Services aux Autochtones Canada,2017,Goods,14,537567.83
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2015,Services,47,3516539.02
Department of Justice | Ministère de la Justice,2016,Services,82,13360403.00
Correctional Service of Canada | Service correctionnel du Canada,2016,Goods,1322,85635905.45
Canada Border Services Agency | Agence des services frontaliers du Canada,2013,Goods,8,30392816.00
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2011,Goods,31,855507.78
Indigenous Services Canada | Services aux Autochtones Canada,2017,Construction,2,24396.70
Employment and Social Development Canada | Emploi et Développement social Canada,2004,Other,1246,1405330039.40
Canada Border Services Agency | Agence des services frontaliers du Canada,2014,Goods,32,49090042.95
Indigenous Services Canada | Services aux Autochtones Canada,2018,Construction,4,82085.01
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2009,Other,81,2849729.35
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2006,Other,2,1721329.10
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2017,Services,35,14257173.12
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2010,Services,39,977832.88
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2007,Other,52,1820703.88
Canada Revenue Agency | Agence du revenu du Canada,2008,Other,2756,1123737591.93
Correctional Service of Canada | Service correctionnel du Canada,2016,Services,1884,1084617633.90
International Joint Commission | Commission mixte internationale,2018,Services,21,464927.01
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2014,Services,40,30360329.80
Employment and Social Development Canada | Emploi et Développement social Canada,2017,Services,1225,202413485.69
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2017,Goods,17,673999.66
Indigenous Services Canada | Services aux Autochtones Canada,2017,Services,40,3493015.25
Department of Justice | Ministère de la Justice,2018,Goods,60,3544731.71
Indigenous Services Canada | Services aux Autochtones Canada,2018,Services,260,17359846.48
National Defence | Défense nationale,2011,Other,22359,11987301683.68
Canada Border Services Agency | Agence des services frontaliers du Canada,2014,Services,133,125355744.70
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2012,Goods,2,37243151.84
Correctional Service of Canada | Service correctionnel du Canada,2017,Construction,213,36732252.89
Employment and Social Development Canada | Emploi et Développement social Canada,2017,Goods,116,47159567.36
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2015,Goods,2,189690.04
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2012,Services,9,177425110.71
International Joint Commission | Commission mixte internationale,2018,Construction,1,445446.00
Correctional Service of Canada | Service correctionnel du Canada,2017,Goods,2255,172560654.71
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2016,Services,29,4108829.14
Indigenous Services Canada | Services aux Autochtones Canada,2018,Goods,48,4684951.66
Department of Justice | Ministère de la Justice,2017,Services,362,41239933.27
Employment and Social Development Canada | Emploi et Développement social Canada,2017,Construction,6,84270.02
Employment and Social Development Canada | Emploi et Développement social Canada,2003,Other,4,27171294.94
Employment and Social Development Canada | Emploi et Développement social Canada,2015,Other,1104,253874337.24
Financial Transactions and Reports Analysis Centre of Canada | Centre d'analyse des opérations et déclarations financières du Canada,2010,Goods,26,1383241.91
International Joint Commission | Commission mixte internationale,2018,Goods,10,299939.96
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016,Construction,14,7943131.79
International Joint Commission | Commission mixte internationale,2017,Goods,1,90862.17
Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,2016,Services,17,430140.98
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2007,Other,60,309420113.88
Correctional Service of Canada | Service correctionnel du Canada,2017,Services,1563,137802274.33
Library and Archives Canada | Bibliothèque et Archives Canada,2017,Goods,54,3063318.85
Employment and Social Development Canada | Emploi et Développement social Canada,2014,Services,6,11444882.04
Federal Economic Development Agency for Southern Ontario | Agence fédérale de développement économique pour le Sud de l'Ontario,2014,Goods,9,249373.47
International Joint Commission | Commission mixte internationale,2017,Services,18,643433.81
"Immigration, Refugees and Citizenship Canada | Immigration, Réfugiés et Citoyenneté Canada",2008,Goods,3,22327897.66
Canada Revenue Agency | Agence du revenu du Canada,2013,Other,1436,218367543.33
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2015,Services,77,65021896.21
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016,Services,239,76617131.62
Military Grievances External Review Committee | Comité externe d’examen des griefs militaires,2016,Goods,6,132941.85
Canadian Environmental Assessment Agency | Agence canadienne d'évaluation environnementale,2018,Services,16,812337.18
Correctional Service of Canada | Service correctionnel du Canada,2018,Construction,164,12368375.00
Employment and Social Development Canada | Emploi et Développement social Canada,2014,Goods,1,880848.63
Canadian Radio-television and Telecommunications Commission | Conseil de la radiodiffusion et des télécommunications canadiennes,2015,Goods,1,206109.92
Correctional Service of Canada | Service correctionnel du Canada,2018,Goods,1868,93470982.29
Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,2016,Goods,21,1624918.56
Financial Consumer Agency of Canada | Agence de la consommation en matière financière du Canada,2018,Services,52,3284591.58
