year,commodity_type,contracts_count,original_value,amendment_value,solicitation_procedure_code,department
2017,C,42,44422.73,0,AC,Office of the Privacy Commissioner of Canada | Commissariats Ã  lâ€™information et Ã  la protection de la vie privÃ©e au Canada
2017,C,62,40607.54,0,AC,Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financiÃ¨res Canada
2017,C,53,343919.38,0,TC,Office of the Secretary to the Governor General | Bureau du secrÃ©taire du gouverneur gÃ©nÃ©ral
2017,C,22,64213.38,0,TC,Parole Board of Canada | Commission des libÃ©rations conditionnelles du Canada
2017,C,77,35175.00,0,TC,Parks Canada | Parcs Canada
2017,C,48,33000.45,0,TC,Canadian Heritage | Patrimoine canadien
2017,C,20,32501.70,0,TC,Public Health Agency of Canada | Agence de la santÃ© publique du Canada
2017,C,12,28290.15,0,TC,Patented Medicine Prices Review Board Canada | Conseil d'examen du prix des mÃ©dicaments brevetÃ©s Canada
2017,C,83,64398.70,14138.56,TN,Public Prosecution Service of Canada | Service des poursuites pÃ©nales du Canada
2017,C,74,64398.70,0,TC,Public Service Commission of Canada | Commission de la fonction publique du Canada
2017,C,88,124887.60,0,TN,Office of the Public Sector Integrity Commissioner of Canada | Commissariat Ã  l'intÃ©gritÃ© du secteur public du Canada
2017,C,23,25971.02,0,OB,Public Safety Canada | SÃ©curitÃ© publique Canada
2017,C,43,25519.20,0,OB,Public Services and Procurement Canada | Services publics et Approvisionnement Canada
2017,C,53,33643.21,0,TC,Royal Canadian Mounted Police | Gendarmerie royale du Canada
2017,C,15,38219.68,0,TC,Shared Services Canada | Services partagÃ©s Canada
2017,C,4,42000.00,0,TC,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada
2017,C,23,83281.00,0,TC,Statistics Canada | Statistique Canada
2017,C,245,30796.53,0,OB,Treasury Board of Canada Secretariat | SecrÃ©tariat du Conseil du TrÃ©sor du Canada
2017,C,42,39154.50,0,TC,Transport Canada | Transports Canada
2017,C,62,73902.00,0,OB,Veterans Affairs Canada | Anciens Combattants Canada
2017,C,53,73902.00,-12192.7,OB,Veterans Review and Appeal Board | Tribunal des anciens combattants (rÃ©vision et appel)
2017,C,22,72105.30,0,OB,Western Economic Diversification Canada | Diversification de l'Ã©conomie de l'Ouest Canada
2017,G,77,32271.75,0,OB,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
2017,G,48,340487.23,0,OB,Atlantic Canada Opportunities Agency | Agence de promotion Ã©conomique du Canada atlantique
2017,G,20,340487.23,-21870.33,TN,Administrative Tribunals Support Service of Canada | Service canadien d'appui aux tribunaux administratifs
2017,G,12,44842.35,0,TN,Canadian Northern Economic Development Agency | Agence canadienne de dÃ©veloppement Ã©conomique du Nord
2017,G,83,36047.90,0,TC,Courts Administration Service | Service administratif des tribunaux judiciaires
2017,G,74,134102.75,13074.1,OB,Canada Border Services Agency | Agence des services frontaliers du Canada
2017,G,88,134102.75,0,TN,Canadian Centre for Occupational Health and Safety | Centre canadien d'hygiÃ¨ne et de sÃ©curitÃ© au travail
2017,G,23,152170.85,0,OB,Canada Economic Development for Quebec Regions | DÃ©veloppement Ã©conomique Canada pour les rÃ©gions du QuÃ©bec
2017,G,43,137431.92,0,TN,Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments
2017,G,53,62319.50,0,OB,Canadian Grain Commission | Commission canadienne des grains
