year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Construction,Construction,0,0,0,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada
2017,Service,Services,706,2029059.37,-1111354.32,Canada Revenue Agency,Agence du revenu du Canada
2017,Good,Biens,1044,2188895.56,-28687.72,Canada Revenue Agency,Agence du revenu du Canada
2017,Construction,Construction,0,0,0,Canada Revenue Agency,Agence du revenu du Canada
2017,Service,Services,525,1056175.89,224728.99,Canadian Space Agency,Agence spatiale canadienne
2017,Good,Biens,292,840911.53,49711.19,Canadian Space Agency,Agence spatiale canadienne
2017,Construction,Construction,35,133667.19,17721.01,Canadian Space Agency,Agence spatiale canadienne
2017,Service,Services,39096,62117760.55,1241663.34,Correctional Service of Canada,Service correctionnel du Canada
2017,Good,Biens,133499,171373742.33,290244.80,Correctional Service of Canada,Service correctionnel du Canada
2017,Construction,Construction,2127,8145694.76,255837.99,Correctional Service of Canada,Service correctionnel du Canada
2017,Service,Services,369,3187949.69,72907.35,Canada School of Public Service,École de la fonction publique du Canada
2017,Good,Biens,123,1189720.70,-3251.24,Canada School of Public Service,École de la fonction publique du Canada
2017,Construction,Construction,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2017,Service,Services,17,162639.29,-61163.09,Canadian Transportation Agency,Office des transports du Canada
2017,Good,Biens,6,31339.05,4100.17,Canadian Transportation Agency,Office des transports du Canada
2017,Construction,Construction,0,0,0,Canadian Transportation Agency,Office des transports du Canada
2017,Service,Services,10082,34603247.23,2301517.65,Global Affairs Canada,Affaires mondiales Canada
2017,Good,Biens,10101,21879777.82,487939.85,Global Affairs Canada,Affaires mondiales Canada
2017,Construction,Construction,1638,6500782.05,400047.75,Global Affairs Canada,Affaires mondiales Canada
2017,Service,Services,16211,64360812.32,-894799.44,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Good,Biens,10193,37570359.59,-217638.71,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Construction,Construction,3388,13039829.64,-12704.97,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Service,Services,116756,126735516.11,241173.82,National Defence,Défense nationale
2017,Good,Biens,104823,146217487.22,-61644.28,National Defence,Défense nationale
2017,Construction,Construction,7548,16251757.54,-38991.16,National Defence,Défense nationale
2017,Service,Services,2935,12075657.2,195590.69,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Good,Biens,2089,6485136.7,-26295.7,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Construction,Construction,277,1193725.3,4928.15,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Service,Services,484,1590409.21,56145.21,Elections Canada,Élections Canada
2017,Good,Biens,46,271263.06,8500.97,Elections Canada,Élections Canada
2017,Construction,Construction,0,0,0,Elections Canada,Élections Canada
2017,Service,Services,912,3211671.98,32085.24,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Good,Biens,129,350115.51,26446.82,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Construction,Construction,6,32225.58,0,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Service,Services,114,524190.52,5822.23,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2017,Good,Biens,38,147770.71,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2017,Construction,Construction,3,8640.91,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2017,Service,Services,230,423736.32,-29368.61,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2017,Good,Biens,77,220078.76,30.92,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2017,Construction,Construction,0,0,0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2017,Service,Services,239,782018.19,36018.87,Department of Finance Canada,Ministère des Finances Canada
2017,Good,Biens,161,388472.89,-249.42,Department of Finance Canada,Ministère des Finances Canada
2017,Construction,Construction,0,0,0,Department of Finance Canada,Ministère des Finances Canada
2017,Service,Services,94,332584.64,72280.03,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2017,Good,Biens,30,122653.00,10525.72,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2017,Construction,Construction,0,0,0,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada
2017,Service,Services,403,2009601,108750,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2017,Good,Biens,82,248599,1720,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2017,Construction,Construction,0,0,0,Office of the Commissioner for Federal Judicial Affairs Canada,Commissariat à la magistrature fédérale Canada
2017,Service,Services,51,119398.04,789.8,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Good,Biens,27,68540.15,1742.17,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Construction,Construction,0,0,0,Farm Products Council of Canada,Conseil des produits agricoles du Canada
2017,Service,Services,9734,32023902.40,507189.15,Health Canada,Santé Canada
2017,Good,Biens,3585,11351307.07,123670.68,Health Canada,Santé Canada
2017,Construction,Construction,60,310778.84,15881.54,Health Canada,Santé Canada
2017,Service,Services,4219,8606146.22,187686.15,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2017,Good,Biens,1274,4023747.09,17857.90,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2017,Construction,Construction,23,95395.19,676.72,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada"
2018,Service,Services,52,260186.09,5141.54,Infrastructure Canada,Infrastructure Canada
2018,Good,Biens,32,144415.95,20143.05,Infrastructure Canada,Infrastructure Canada
2018,Construction,Construction,0,0,0,Infrastructure Canada,Infrastructure Canada
2017,Service,Services,2757,6358297.43,528901.7,Department of Justice Canada,Ministère de la Justice Canada
2017,Good,Biens,1000,2138227.09,33979.5,Department of Justice Canada,Ministère de la Justice Canada
2017,Construction,Construction,0,0,0,Department of Justice Canada,Ministère de la Justice Canada
2017,Service,Services,177,597960.21,17292.88,Library and Archives Canada,Bibliothèque et Archives Canada
2017,Good,Biens,164,571899.55,5391.90,Library and Archives Canada,Bibliothèque et Archives Canada
2017,Construction,Construction,2,15384.95,0,Library and Archives Canada,Bibliothèque et Archives Canada
2017,Service,Services,46,229937.24,26463.35,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2017,Good,Biens,59,239459.83,16357.88,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2017,Construction,Construction,0,0,0,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires
2017,Service,Services,71,377001.1,42706.03,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2017,Good,Biens,26,72991.15,695,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2017,Construction,Construction,0,0,0,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada
2017,Service,Services,9526,14223842.78,218554.32,National Film Board,Office national du film
2017,Good,Biens,1159,1429711.17,34839.92,National Film Board,Office national du film
2017,Construction,Construction,10,18779.52,13.32,National Film Board,Office national du film
2017,Service,Services,4743,11727033.85,983855.48,Natural Resources Canada,Ressources naturelles Canada
2017,Good,Biens,3074,7459984.23,155078.04,Natural Resources Canada,Ressources naturelles Canada
2017,Construction,Construction,158,410054.44,46635.97,Natural Resources Canada,Ressources naturelles Canada
2017,Service,Services,7515,18403177.32,18757059.90,National Research Council Canada,Conseil national de recherches Canada
2017,Good,Biens,21885,38856662.65,74742.29,National Research Council Canada,Conseil national de recherches Canada
2017,Construction,Construction,265,875939.56,231989.47,National Research Council Canada,Conseil national de recherches Canada
2017,Service,Services,110,210744.92,-3520.51,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada
2017,Good,Biens,84,188696.19,3979.24,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada
2017,Construction,Construction,0,0,0,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada
2017,Service,Services,379,2645638.90,70068.65,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2017,Good,Biens,169,622212.95,-1230.97,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2017,Construction,Construction,0,0,0,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada
2018,Service,Services,10,13099.55,3874.15,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada
2018,Good,Biens,2,3263.58,0,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada
2018,Construction,Construction,0,0,0,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada
2017,Service,Services,29,114824.25,16313,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada
2017,Good,Biens,22,63682.93,11848.65,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada
2017,Construction,Construction,0,0,0,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada
2017,Service,Services,160,570457.19,91623.99,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
2017,Good,Biens,122,382969.20,3525.18,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
2017,Construction,Construction,0,0,0,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
2017,Service,Services,49,221836.28,13157.84,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada
2017,Good,Biens,92,230810.28,16876.6,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada
2017,Construction,Construction,0,0,0,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada
