year,commodity_type_en,commodity_type_fr,contracts_count,original_value,amendment_value,department_en,department_fr
2017,Service,Services,20126,40250144.85,5774149.66,Correctional Service of Canada,Service correctionnel du Canada
2017,Good,Biens,65649,98717181.24,917860.49,Correctional Service of Canada,Service correctionnel du Canada
2017,Construction,Construction,804,4793090.69,173792.28,Correctional Service of Canada,Service correctionnel du Canada
2017,Service,Services,163,2383391.74,87811.70,Canada School of Public Service,École de la fonction publique du Canada
2017,Good,Biens,59,1025017.86,71302.13,Canada School of Public Service,École de la fonction publique du Canada
2017,Construction,Construction,0,0,0,Canada School of Public Service,École de la fonction publique du Canada
2017,Service,Services,39,589223.41,222366.25,Canadian Transportation Agency,Office des transports du Canada
2017,Good,Biens,7,50993.91,9729.57,Canadian Transportation Agency,Office des transports du Canada
2017,Construction,Construction,0,0,0,Canadian Transportation Agency,Office des transports du Canada
2017,Service,Services,6258,37066672.79,2227292.10,Global Affairs Canada,Affaires mondiales Canada
2017,Good,Biens,5470,22059766.15,337794.25,Global Affairs Canada,Affaires mondiales Canada
2017,Construction,Construction,965,5498365.36,491291.81,Global Affairs Canada,Affaires mondiales Canada
2017,Service,Services,9131,50138151.10,7658290.58,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Good,Biens,6151,35220804.34,947666.65,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Construction,Construction,2554,16018990.58,1571537.00,Fisheries and Oceans Canada,Pêches et Océans Canada
2017,Service,Services,55520,93005339.47,4954378.42,National Defence,Défense nationale
2017,Good,Biens,46083,120080276.20,1589808.94,National Defence,Défense nationale
2017,Construction,Construction,2390,8754145.17,22840.53,National Defence,Défense nationale
2017,Service,Services,2500,22223210.15,812743.84,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Good,Biens,1437,8929160.89,-22450.99,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Construction,Construction,286,2423404.78,27726.56,Environment and Climate Change Canada,Environnement et Changement climatique Canada
2017,Service,Services,388,3196207.66,1045086.43,Elections Canada,Élections Canada
2017,Good,Biens,26,370281.94,26141.93,Elections Canada,Élections Canada
2017,Construction,Construction,0,0,0,Elections Canada,Élections Canada
2017,Service,Services,758,6687202.54,3017070.78,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Good,Biens,96,666918.18,-21124.61,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Construction,Construction,10,113528.09,0,Employment and Social Development Canada,Emploi et Développement social Canada
2017,Service,Services,81,818802.55,32621.06,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2017,Good,Biens,22,192683.71,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2017,Construction,Construction,1,11115.30,0,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada
2017,Service,Services,122,534876.93,19138.78,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2017,Good,Biens,45,315271.02,30.92,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
2017,Construction,Construction,0,0,0,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario
